ID,booking-prediction,booking-predictor-bin,guest-value,guest-value-bin
249644,70.35,11,9.82,5
647257,77.43,12,27.17,14
263124,67.91,10,1.79,1
501596,92.22,15,22.43,11
803763,60.8,9,26.26,13
60820,73.37,11,20.73,10
290561,62.57,9,14.05,7
93151,79.71,12,18.73,9
531117,86.97,14,25.63,13
545530,67.44,10,34.46,17
933335,46.67,6,25.41,13
51780,60.44,9,36.68,18
796595,91.59,15,19.24,10
954858,58.62,8,5.74,3
96652,85.46,14,8.88,4
921197,46.75,6,17.99,9
926914,34.16,3,21.67,11
990029,71.14,11,23.4,12
776094,65.88,10,23.73,12
654087,43.16,5,21.81,11
375886,82.51,13,24.56,12
644779,73.22,11,18.39,9
561504,59.09,8,6.91,3
318356,67.07,10,27.54,14
688959,66.99,10,22.48,11
4921,64.89,9,24.33,12
284183,66.09,10,12.3,6
666569,55.79,8,27.32,14
153524,77.61,12,17.32,9
859102,67.29,10,5.59,3
107059,82.72,13,10.98,5
86381,54.97,7,24.63,12
